id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards
1,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
2,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
3,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
4,0,3,30,1,22.5,0,1,16.1,False,35.8,90,0,0,0,0,0,103.0,9,0
5,0,0,5,0,14.3,0,0,2.5,False,9.4,8,0,0,0,0,0,1.0,1,0
6,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
7,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
8,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
9,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
10,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
11,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
12,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
13,0,0,12,1,27.0,0,0,5.0,False,14.6,81,0,0,0,0,0,8.0,3,0
14,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
15,0,0,0,0,0.7,0,0,0.6,False,1.6,28,0,0,0,0,0,4.0,0,1
16,0,1,24,1,28.2,0,0,5.8,False,10.8,90,0,0,0,0,0,19.0,7,0
17,1,0,22,1,84.7,0,0,21.7,False,40.2,90,0,0,0,0,0,92.0,6,0
18,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
19,0,0,9,0,1.1,3,0,5.0,False,29.4,85,0,0,0,0,0,19.0,2,0
20,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
21,0,0,2,0,24.3,0,0,5.3,False,9.2,28,0,0,0,0,0,19.0,1,0
22,0,0,18,1,51.3,0,0,16.9,False,14.0,90,0,0,0,0,0,104.0,3,0
23,0,2,28,1,0.8,0,0,3.1,False,22.2,90,0,0,0,0,0,8.0,8,0
