id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards
1,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
2,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
3,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
4,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
5,0,0,16,0,16.7,2,0,5.4,False,26.8,90,0,0,0,0,0,10.0,0,1
6,2,0,24,0,23.7,1,0,7.7,False,36.8,79,0,0,0,0,0,16.0,8,0
7,0,0,12,0,12.9,2,0,3.1,False,7.6,90,0,0,0,0,0,10.0,2,0
8,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
9,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
10,0,2,59,2,3.5,0,1,8.6,True,63.8,180,0,0,0,0,0,19.0,20,0
11,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
12,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
13,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
14,0,0,3,0,0.0,0,0,0.0,False,0.0,1,0,0,0,0,0,0.0,1,0
15,0,0,13,0,15.6,2,0,3.1,False,13.2,90,0,0,0,0,0,2.0,2,0
16,0,0,17,0,26.6,2,0,4.6,False,17.2,90,0,0,0,0,0,2.0,1,0
17,0,0,2,0,0.3,1,0,0.6,False,0.0,17,0,0,0,0,0,8.0,1,0
18,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
19,0,0,16,0,19.1,2,0,6.4,False,23.0,180,0,0,0,0,0,22.0,4,0
20,0,0,-6,0,0.3,1,0,0.0,False,0.0,10,0,0,0,0,0,4.0,0,1
21,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
22,1,2,41,0,29.0,2,1,11.1,False,59.4,90,0,0,0,0,0,23.0,12,0
23,0,0,11,0,1.3,2,0,2.1,False,12.2,90,0,0,0,0,0,7.0,1,0
