id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards
1,0,0,20,0,0.0,5,0,4.3,False,43.0,90,0,0,0,0,5,0.0,1,0
2,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
3,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
4,0,0,0,0,1.4,4,0,0.1,False,0.0,58,0,0,0,0,0,0.0,1,0
5,0,0,1,0,1.0,5,0,0.5,False,4.4,90,0,0,0,0,0,0.0,-1,1
6,0,0,-1,0,0.3,1,0,0.1,False,1.0,31,0,0,0,0,0,0.0,1,0
7,0,0,-5,0,0.3,5,0,0.0,False,0.0,34,0,0,0,1,0,0.0,-2,0
8,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
9,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
10,0,0,13,0,0.4,5,0,3.3,False,32.2,90,0,0,0,0,0,0.0,0,0
11,0,0,3,0,0.0,5,0,0.4,False,4.0,90,0,0,0,0,0,0.0,-1,1
12,0,0,2,0,0.3,2,0,0.4,False,3.4,45,0,0,0,0,0,0.0,1,0
13,0,0,3,0,0.1,1,0,0.1,False,0.4,19,0,0,0,0,0,0.0,1,0
14,0,0,17,0,0.2,5,0,3.6,False,36.0,90,0,0,0,0,0,0.0,0,0
15,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
16,0,0,14,0,14.3,5,0,3.6,False,19.8,90,0,0,0,0,0,2.0,0,0
17,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
18,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
19,0,0,8,0,1.7,1,0,1.7,False,11.0,83,0,0,0,0,0,4.0,2,0
20,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
21,0,0,8,0,0.5,5,0,1.7,False,10.8,90,0,0,0,0,0,6.0,2,0
22,0,0,0,0,0.8,3,0,0.5,False,0.0,45,0,0,0,0,0,6.0,1,0
23,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
24,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
25,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
26,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
27,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
28,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
29,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
30,0,0,14,0,0.0,1,0,1.2,False,11.8,90,0,0,0,0,1,0.0,2,0
31,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
32,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
33,1,0,28,1,76.3,0,0,13.9,False,32.4,90,0,0,0,0,0,30.0,6,0
34,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
35,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
36,0,0,5,0,0.1,0,0,0.3,False,3.2,1,0,0,0,0,0,0.0,1,0
37,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
38,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
39,0,0,9,0,2.2,1,0,1.7,False,15.2,90,0,0,0,0,0,0.0,2,0
40,0,0,2,0,0.6,0,0,4.0,False,5.4,11,0,0,0,0,0,34.0,1,0
41,0,0,3,0,0.3,0,0,0.1,False,0.6,27,0,0,0,0,0,0.0,1,0
42,0,0,2,0,36.9,1,0,4.8,False,6.4,90,0,0,0,0,0,5.0,1,1
43,0,3,29,0,40.3,1,1,10.2,True,52.2,90,0,0,0,0,0,9.0,10,0
44,0,0,7,0,1.5,1,0,2.3,False,15.2,90,0,0,0,0,0,6.0,1,1
45,0,0,7,0,0.0,1,0,1.5,False,9.4,88,0,0,0,0,0,6.0,2,0
46,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
47,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
48,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
49,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
50,0,0,10,0,11.5,1,0,2.3,False,7.4,90,0,0,0,0,0,4.0,2,0
51,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
52,0,0,8,0,0.9,1,0,0.5,False,4.0,78,0,0,0,0,0,0.0,2,0
53,0,0,8,0,2.2,2,0,0.3,False,0.8,58,0,0,0,0,0,0.0,1,0
54,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
55,0,0,19,0,50.7,2,0,8.9,False,29.2,90,0,0,0,0,0,9.0,2,0
56,0,0,14,0,0.5,2,0,2.9,False,24.0,90,0,0,0,0,0,4.0,1,0
57,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
58,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
59,0,0,17,0,1.5,2,0,1.6,False,14.8,90,0,0,0,0,0,0.0,1,0
60,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
61,0,0,14,0,2.5,2,0,3.5,False,32.6,90,0,0,0,0,0,0.0,1,0
62,0,0,8,0,22.6,1,0,3.5,False,9.8,45,0,0,0,0,0,3.0,1,0
63,0,0,12,0,32.8,2,0,5.7,False,9.6,90,0,0,0,0,0,15.0,2,0
64,0,0,8,0,15.2,2,0,7.6,False,13.2,90,0,0,0,0,0,48.0,2,0
65,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
66,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
67,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
68,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
69,0,0,17,0,0.0,2,0,2.2,False,22.4,90,0,0,0,0,3,0.0,2,0
70,0,0,9,0,4.3,2,0,2.7,False,14.4,90,0,0,0,0,0,8.0,1,1
71,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
72,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
73,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
74,0,0,6,0,2.2,1,0,2.2,False,9.8,45,0,0,0,0,0,10.0,1,0
75,0,0,5,0,3.8,2,0,2.9,False,3.0,72,0,0,0,0,0,22.0,2,0
76,1,2,28,0,10.3,1,0,4.1,False,28.4,90,0,0,0,0,0,2.0,7,0
77,0,0,2,0,1.4,1,0,0.9,False,7.6,90,0,0,0,0,0,0.0,1,1
78,0,1,22,0,15.1,1,1,7.9,False,31.2,90,0,0,0,0,0,33.0,6,1
79,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
80,0,0,21,0,0.0,1,0,4.2,False,42.4,90,0,0,0,0,4,0.0,3,0
81,0,0,10,0,1.2,1,0,3.6,False,8.4,90,0,0,0,0,0,26.0,2,0
82,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
83,0,0,4,0,11.3,1,0,2.9,False,9.4,90,0,0,0,0,0,8.0,2,0
84,0,0,14,0,21.7,1,0,3.4,False,12.4,88,0,0,0,0,0,0.0,1,1
85,0,0,16,0,25.1,1,0,7.2,False,11.2,65,0,0,0,0,0,36.0,2,0
86,0,0,5,0,24.3,0,0,2.9,False,4.2,10,0,0,0,0,0,0.0,1,0
87,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
88,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
89,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
90,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
91,0,0,15,0,0.8,1,0,2.5,False,18.6,90,0,0,0,0,0,6.0,2,0
92,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
93,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
94,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
95,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
96,0,0,3,0,0.8,1,0,2.7,False,4.8,79,0,0,0,0,0,21.0,2,0
97,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
98,0,0,12,0,0.1,1,0,4.4,False,25.2,90,0,0,0,0,0,19.0,2,0
99,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
100,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
101,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
102,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
103,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
104,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
105,0,0,-5,1,11.6,0,0,2.0,False,2.2,78,0,0,0,0,0,6.0,1,1
106,0,0,9,0,10.2,1,0,4.5,False,17.2,90,0,0,0,0,0,18.0,1,1
107,0,0,13,0,18.4,1,0,2.9,False,10.4,90,0,0,0,0,0,0.0,2,0
108,0,0,2,1,2.7,0,0,0.6,False,0.0,62,0,0,0,0,0,6.0,3,0
