id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards
1,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
2,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
3,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
4,0,0,6,1,37.4,0,0,6.3,False,7.2,90,0,0,0,0,0,18.0,2,0
5,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
6,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
7,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
8,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
9,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
10,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
11,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
12,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
13,0,0,1,0,0.5,0,0,0.6,False,5.6,15,0,0,0,0,0,0.0,1,0
14,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
15,0,0,14,1,15.3,0,0,4.8,False,12.6,74,0,0,0,0,0,20.0,3,0
16,0,0,20,1,3.1,0,0,1.5,False,7.8,77,0,0,0,0,0,4.0,6,0
17,0,0,7,1,27.6,0,0,8.7,False,11.2,90,0,0,0,0,0,48.0,3,0
18,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
19,0,0,4,0,11.4,1,0,2.7,False,11.0,90,0,0,0,0,0,5.0,2,0
20,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
21,0,0,6,1,3.9,0,0,2.7,False,2.4,60,0,0,0,0,0,21.0,3,0
22,1,0,16,1,5.3,0,0,3.7,False,10.0,90,0,0,0,0,0,22.0,6,0
23,0,1,27,1,0.3,0,0,3.1,False,30.6,90,0,0,0,0,0,0.0,7,0
