id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards
1,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
2,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
3,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
4,0,0,1,0,0.3,1,0,1.9,False,0.0,5,0,0,0,0,0,22.0,1,0
5,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
6,0,0,4,0,1.7,1,0,0.8,False,4.0,84,0,0,0,0,0,2.0,2,0
7,0,0,7,0,3.0,2,0,1.6,False,11.0,90,0,0,0,0,0,2.0,1,1
8,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
9,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
10,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
11,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
12,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
13,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
14,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
15,0,0,7,0,6.3,2,0,2.0,False,12.4,90,0,0,0,0,0,1.0,2,0
16,1,3,35,1,12.8,0,0,3.8,True,25.6,64,0,0,0,0,0,0.0,12,0
17,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
18,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
19,0,0,9,1,32.8,0,0,4.9,False,9.8,90,0,0,0,0,0,6.0,3,0
20,0,0,2,0,31.6,2,0,5.1,False,4.6,19,0,0,0,0,0,15.0,1,0
21,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0
22,0,0,19,0,19.8,2,0,5.0,False,17.6,90,0,0,0,0,0,13.0,2,0
23,0,0,12,0,1.4,2,0,3.4,False,15.4,90,0,0,0,0,0,17.0,1,0
