assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,11,454,100,0,11,192895,None,,0,0,-1,1,335.9,121,23,None,,3,2,0.0,0.0,0,Kieran,0.0,21,1,90.1,194,52,16,False,365.2,200,85,1916,,2022-04-04T22:30:18.048398Z,49,0,0,None,0,,192895.jpg,4.8,0,0,Tierney,4.7,False,None,a,1,3,198.0,215,51,106,2015908,0,2258262,0,0.0,21.6,Tierney,0
4,1,127,100,100,2,195735,6,,0,0,-6,6,216.9,189,116,2,,0,3,1.4,2.7,4,Nicolas,1.7,9,1,76.3,228,112,17,False,149.4,357,147,681,,2022-04-04T22:30:18.062274Z,69,0,0,2,0,,195735.jpg,2.2,0,0,Pépé,0.7,False,None,a,1,3,400.0,114,64,45,138606,0,359347,0,0.2,6.5,Pépé,0
0,0,0,0,0,0,198849,None,,0,0,0,0,0.0,626,245,None,,0,3,0.0,0.0,0,Lucas,0.0,0,0,0.0,632,244,18,False,0.0,629,242,0,Joined Fiorentina on a season-long loan - Expected back 01 Jul,2021-08-25T22:00:08.179808Z,45,0,0,None,0,,198849.jpg,0.0,0,0,Torreira,0.1,False,None,u,1,3,0.0,610,243,0,6292,0,34091,0,0.0,0.0,Torreira,0
1,6,194,100,100,0,205533,None,,0,0,2,-2,165.2,229,36,None,,2,4,4.8,4.0,6,Edward,3.0,18,5,82.1,209,39,20,False,249.2,280,36,823,,2021-08-08T18:00:05.173437Z,57,0,0,None,0,,205533.jpg,2.6,0,0,Nketiah,11.5,False,None,a,1,3,408.0,110,39,55,1215172,0,181246,0,0.5,9.6,Nketiah,3
2,9,435,100,100,8,209289,5,,0,0,2,-2,453.3,81,59,None,,1,3,2.0,1.3,0,Emile,0.3,28,10,158.4,59,39,21,False,555.8,108,38,1909,,2022-03-07T09:30:13.243078Z,57,0,0,None,0,,209289.jpg,3.8,0,0,Smith Rowe,10.0,False,None,a,1,3,576.0,63,35,125,3951517,0,3748602,0,0.1,21.9,Smith Rowe,1
9,18,566,100,100,13,223340,1,,0,0,2,-2,977.8,7,6,None,,4,3,5.6,4.0,5,Bukayo,3.0,39,11,320.0,4,3,22,False,790.4,25,10,2978,,2022-04-23T22:00:12.451183Z,67,0,0,3,0,,223340.jpg,4.7,0,0,Saka,28.8,False,None,a,1,3,1434.0,5,3,179,5143893,0,3762118,0,0.4,26.7,Saka,6
0,16,682,100,100,13,226597,None,,0,0,3,-3,131.6,261,74,None,,5,2,4.4,4.7,8,Gabriel,3.7,38,5,134.7,82,12,23,False,746.8,35,9,3063,,2022-05-12T22:30:11.270330Z,53,0,0,None,0,,226597.jpg,4.2,1,0,Magalhães,7.4,False,None,a,1,3,470.0,88,8,146,1601760,0,1014553,0,0.7,27.5,Gabriel,6
0,0,0,0,0,0,233963,None,,0,0,0,0,0.0,645,242,None,,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,651,242,24,False,0.0,648,242,0,Season long loan to Stuttgart,2021-07-02T08:43:27.623007Z,45,0,0,None,0,,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,u,1,3,0.0,632,241,0,0,0,45,0,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,242166,None,,0,0,0,0,0.0,649,257,None,,0,3,0.0,0.0,0,Mattéo,0.0,0,0,0.0,654,256,25,False,0.0,651,255,0,Season long loan to Marseille,2021-07-08T07:32:22.717852Z,45,0,0,None,0,,242166.jpg,0.0,0,0,Guendouzi,0.0,False,None,u,1,3,0.0,636,255,0,0,0,129,0,0.0,0.0,Guendouzi,0
7,6,345,100,100,7,444145,4,,0,0,-2,2,483.3,70,53,None,,1,3,4.0,6.0,12,Gabriel Teodoro,5.0,25,6,174.7,49,34,26,False,475.8,135,52,1855,,2022-02-10T23:30:16.705628Z,53,0,0,None,0,,444145.jpg,3.8,1,0,Martinelli Silva,3.1,False,None,a,1,3,786.0,35,23,110,1425921,0,1158855,0,0.9,20.8,Martinelli,1
